Date,Job_title,Job_type,Salary,Hours,Description,Link
"Apr 20, 2026","['Data Analyst', 'Analyst']",Any,"40,000PHP p/m",40,"We are currently on the lookout for a Data Analyst to to fill the role of 'Member Support' within our business. We are a growing team and this position will be our sixth international hire.

Applicants should have experience in a Data Analyst role.
Specifically we're looking for people to:
• Complete daily, weekly, fortnightly and quarterly reports by exporting data from various systems and importing it into Google Sheets templates
• Use the following formulas/functions in Google Sheets - XLOOKUP, Index Match, IMPORTRANGE, Pivot Tables
• Update tea ---------- mbers on key business metrics
• Complete data quality checks to ensure our records are correct

Applicants must have a high attention to detail and be well versed in interacting with customers. Experience is a MUST for this role. Hours are (Melbourne time):
Monday - Friday - 9am-5.30pm

We are specifically after candidates that are wanting to be part of a team and work within an organisation they can build a career at. If this sounds like you, we can't wait to receive your application :)",https://www.onlinejobs.ph/jobseekers/job/Full-Time-Data-Analyst-Role-1627671
"Apr 19, 2026","['Real Estate', 'Real Estate', 'Research']",Full Time,$500 - $1100,40,"Please review this job post completely before applying.

Job Title: Real Estate Research & Data Analyst (Virtual Assistant)
Type: Full-Time, Long-Term
Hours: 40 hrs/week (EST)
Location: Remote
Start Date: Immediate (within 7 days)

About the Role

We are a U.S.-based real estate investment company actively acquiring off-market properties. We are looking for a Data Research Specialist to support our acquisitions team by cleaning, organizing, and preparing property data.

This is not a cold calling, marketing, or underwriting role. You will be working with data only — following instructions to identify qualified leads, maintain clean records, and provide accurate updates inside our systems.

If you’re detail-oriented, comfortable with large datasets, and confident in Excel and CRM work, this is a great long-term role for you.

What You’ll Do

? Organize and clean property records inside our CRM (REISift)
? Review and filter property data based on criteria we provide
? Upload/download lists from sources such as Zillow, PropStream, PropWire, and MLS (Jacksonville, FL)
? Use Excel/Google Sheets to clean and format bulk data sets
? Convert property reports from PDF to Excel using Tabula
? Flag qualified leads for the acquisitions team according to instructions
? Maintain accurate, consistent records and prepare weekly summaries of work completed

Must-Have Skills

? 2+ years working in real estate data research, list management, or related role
? Strong working knowledge of Zillow, MLS, REISift, PropStream, and PropWire
? Advanced Excel/Google Sheets skills (downloading, uploading, cleaning datasets, using formulas)
? Experience with PDF-to-Excel conversion tools (Tabula or similar)
? Detail-oriented and consistent — accuracy in data cleaning is critical
? Reliable computer and high-speed internet setup for daily full-time work
? Good written English for reporting and notes

Bonus Points

? Experience supporting U.S. real estate investment teams
? Familiarity with skip tracing workflows
? CRM experience (REISift preferred)
? Ability to handle large data sets without errors

Why Work With Us

? Stable, long-term role with consistent hours
? Professional U.S. real estate investment team
? Clear systems and instructions to follow
? Opportunity to grow into higher-level roles as the company expands

How to Apply (Read Carefully)

We do not accept direct applications on OnlineJobs.ph.

Apply only using this link:

----------

Only applications submitted via the above form will be reviewed.",https://www.onlinejobs.ph/jobseekers/job/Real-Estate-Data-Research-VA-1614658
"Apr 19, 2026","['Data Analyst', 'Analyst', 'BI']",Any,900,TBD,"About the Role
We are an Australian-based private lender looking for a detail-oriented Loan Data Analyst to support our credit team. You will play a key role in preparing and organising customer financial data to assist our assessors in making responsible lending decisions.

Ideally we need applicants with experience using Bizcore Loan Management System.


Key Responsibilities
• Review and organise customer bank transaction data (last 90 days)
• Categorise income, expenses, and liabilities accurately
• Identify key financial behaviours (e.g. gambling, BNPL, payday loans, overdrafts)
• Prepare clean, structured summaries for credit assessors
• Flag inconsistencies or missing information for further review
• Maintain strict data handling and privacy standards at all times



What We’re Looking For
• Experience working with bank transaction data, financial data, or lending/fintech platforms
• Strong attention to detail and ability to spot patterns or anomalies
• Experience categorising transactions (manual or via tools)
• Understanding of personal finance (income vs expenses, liabilities, etc.)
• Ability to follow structured processes and compliance requirements
• Excellent English communication skills

?

Important – Privacy & Data Handling
You will be working with sensitive financial data. All work must be completed in line with strict privacy and confidentiality requirements. No customer data is to be stored, shared, or used outside of the platform.

?

Application Requirement (Important)
As part of your application, please provide examples of how you have previously categorised bank transaction data, ensuring:
• All personal information is removed or anonymised
• No real customer names, account numbers, or identifiable details are included
• Examples clearly show how transactions were grouped (e.g. income, rent, utilities, gambling, BNPL, discretionary spending)



Why Join Us?
• Work with a fast-growing Australian lender
• Be part of a scalable, tech-driven lending model
• Long-term opportunity with growth potential",https://www.onlinejobs.ph/jobseekers/job/Loan-Data-Analyst-BIZCORE-EXPERIENCE-REQUIRED-1627010
"Apr 17, 2026","['Data Analyst', 'Senior', 'Analyst']",Full Time,"$1,000-$1,500",40,"Company:
Prosper IT Consulting

Position:
Full-Time, Remote (40 hours/week)

Work Schedule:
-9 AM - 5 PM (Mondays–Fridays) Eastern Standard Time (EST) / 9 PM - 5 AM (Mondays–Fridays) Philippine Time (PHT)

Prosper IT Consulting is currently seeking a Senior-level Data Analyst proficient in SQL.

Requirements:
-Strong English communication skills
-Dependable, positive, motivated, and enthusiastic
-At least 7 years of professional data analysis experience
-Proficiency with SQL
-Python experience

Compensation:
-During Training (2-4 months): $7.50 USD/hour
-After Training: $10 USD/hour

How to Apply:
Please send the following:
1. Your updated resume
2. Your data analysis knowledge and experience
3. Your experience with SQL
4. A link to your GitHub or online portfolio

Note: Applicants are required to complete a coding challenge as part of the technical assessment. Thanks!",https://www.onlinejobs.ph/jobseekers/job/Senior-Data-Analyst-1626456
"Apr 17, 2026","['Data Analyst', 'Analyst', 'Performance']",Part Time,"1,310.00 - 1,810.00 per month",35,"We are a remote team supporting digital advertising campaigns across multiple markets.

We are looking for someone who can work with campaign data, identify trends, and support performance improvements.

This role is suitable for candidates who enjoy working with numbers and want to grow in digital marketing.

Responsibilities

Review campaign data and track performance metrics
Monitor daily spend and identify unusual patterns
Support optimisation by highlighting trends and insights
Work with simple reports and spreadsheets
Track key metrics such as CPC, CPA, conversions, and trends
Provide clear and simple performance summaries

Requirements

Comfortable working with numbers and data
Basic understanding of online ads (Google Ads, Facebook Ads, or similar)
Able to use Google Sheets or Excel
Attention to detail and ability to notice patterns
Able to follow instructions and work independently
Basic English communication skills

Nice to Have (Optional)

Experience with reporting or analytics
Familiar with dashboards or tracking tools
Understanding of performance metrics (CPA, ROAS, CTR)
Previous experience with ad campaigns

Benefits

Remote work setup
Flexible working hours
Stable long-term opportunity
Performance-based growth
Training support available

Application Instructions

To apply, please include:

Your resume
Any experience with data, reports, or ads (if available)

Start your application with: ADS DATA

Please read the contact instructions carefully before applying.

Send your application to:

azolaialwasat243
gmail [dot] com",https://www.onlinejobs.ph/jobseekers/job/Ads-Data-Analyst-Campaign-Performance-1626437
"Apr 17, 2026","['STR', 'Data Analyst', 'Analyst']",Full Time,"Php 35,253 or $600 USD",40,"Company: MSE Environmental
Location: Remote (Supporting Dallas, TX Market)
Schedule: 8:00 AM – 6:30 PM CDT (Dallas Time)
Type: Independent Contractor
Industry: Environmental Consulting & Industrial Hygiene

About MSE Environmental

MSE Environmental is a rapidly growing environmental consulting firm recognized as a leader in industrial hygiene and environmental testing services across Texas, Nevada, and California.

We specialize in:

* Asbestos, Lead, Mold, and Bacteria Testing
* Indoor Air Quality Assessments
* Phase I Environmental Site Assessments

Our mission is to deliver fast, accurate, and compliant environmental solutions that protect our clients and communities.

Learn more about our culture and values here: ---------- /foundations-of-our-brand

**Position Overview (Read Carefully Before Applying)**

This is a technical, client-facing role with an industrial hygiene focus, not a general virtual assistant position.

You will:

* Interpret environmental laboratory results
* Prepare accurate, compliant reports
* Communicate findings directly to clients via phone, email, and SMS

You will work with laboratory data related to:

* Mold
* Asbestos
* Lead
* Bacteria
* Fire / combustion byproducts

IMPORTANT:
This role requires strong analytical thinking, attention to detail, and confident English communication.

If you are not comfortable speaking with clients on the phone and explaining technical data, this role is not a fit.

**Core Responsibilities**

Environmental Laboratory Data Interpretation

* Analyze and interpret lab reports for mold, asbestos, lead, bacteria, and environmental contaminants
* Identify key findings and risk levels
* Work with Environmental Consultants and Project Managers to validate results

Report Writing and Compliance

* Prepare clear, professional, and compliant environmental reports
* Ensure reports meet regulatory and internal standards
* Maintain high accuracy with minimal revisions

Client Communication and Result Delivery (CRITICAL)

* Communicate lab results to clients via:

* Phone calls (required)
* Email
* SMS
* Deliver results within 15 minutes of receipt
* Translate technical findings into simple, easy-to-understand language
* Answer client questions confidently and professionally
* Document all communication in internal systems

Operations and Coordination

* Coordinate with field technicians, laboratories, and project managers
* Track lab submissions and ensure timely return of results
* Manage multiple reports and deadlines simultaneously

**Minimum Requirements (Strict)**

* Background in Environmental Science, Biology, Chemistry, Industrial Hygiene, OR proven experience interpreting lab data
* 2+ years experience in data analysis, reporting, or technical administrative roles
* Strong English communication (C1 level or higher preferred)
* Typing speed: 50+ WPM (tested)
* Ability to work independently with minimal supervision

**English Communication Requirement (Mandatory)**

* Must speak clear, professional English
* Must be comfortable speaking with clients on the phone daily
* Must be able to explain technical information clearly and confidently

If you are not confident speaking English on calls, do not apply.

**KPIs (How You Will Be Measured)**

* Speed: Results delivered within 15 minutes
* Accuracy: 95%+ report accuracy
* Communication: Clear, confident, and professional
* Responsiveness: Fast reply times
* Reliability: No missed deadlines

**Work Environment Requirements**

You must have:

* Quiet, professional home workspace (no background noise)
* Computer with minimum 8GB RAM
* Internet speed: 25+ Mbps
* Noise-canceling headset

**Schedule**

* Monday – Friday
* 8:00 AM – 6:30 PM (Dallas CDT)
* Must be available for high workload days and urgent client needs

**Required Screening Questions (Mandatory)**

Answer ALL of the following:

1. What is your educational background?
2. Do you have experience interpreting lab or scientific data? Explain.
3. Rate your English speaking ability (1–10)
4. Have you spoken with clients on the phone in English? Describe your experience.
5. What is your temperament? (Sanguine, Choleric, Melancholic, Phlegmatic)
6. Have you worked night shifts before?
7. Do you agree to follow the MSE Environmental Foundations of the Brand? (Yes/No)


**Speaking Test (Required)**

Record yourself using ---------- or ---------- and include the link.

Script:

Hi Erik,
My name is [Your Name], and I’m applying for the Environmental Laboratory Data Analyst position at MSE Environmental. I have experience in customer service and data reporting, and I understand the importance of accuracy, speed, and professionalism when working with clients. I am detail-oriented, reliable, and confident communicating in English. I look forward to contributing to your team. Thank you.

**Compensation**

Independent contractor role
Competitive hourly pay based on:

* Experience
* Accuracy
* Speed
* Performance

High performers will be given increased responsibility and growth opportunities.

**To Apply**

Submit:

* Resume
* Cover letter (with answers to all screening questions)
* Speaking test link

Incomplete applications will not be reviewed.

**Final Note**

This is a high-performance, detail-critical, client-facing role.

We are looking for someone who:

* Works fast without sacrificing accuracy
* Communicates clearly and confidently
* Takes ownership
* Operates with urgency and professionalism",https://www.onlinejobs.ph/jobseekers/job/Remote-Environmental-Laboratory-Data-Analyst-Industrial-Hygiene-Focus-1626323
"Apr 17, 2026","['Data Analyst', 'Analyst']",Any,750 per month,38,"About the Role

We are an Australian-based private lender seeking a highly detail-oriented Loan Data Analyst with experience working alongside credit decisioning frameworks or rule books.

This role goes beyond basic data review — you will play a key part in structuring financial data in line with credit policy, ensuring our assessors can make fast, consistent, and responsible lending decisions.

Key Responsibilities

• Review and analyse customer bank transaction data (last 90 days)
• Categorise income, expenses, and liabilities in line with internal credit rules
• Apply and interpret credit policy / rulebook guidelines to real customer data
• Identify financial behaviours such as:

Gambling activity
BNPL usage
Payday lending / wage advances
Overdraft reliance
• Prepare clear, structured summaries aligned to decisioning requirements
• Flag inconsistencies, risks, or policy breaches for escalation
• Support continuous improvement of credit rules and data structuring processes
• Maintain strict privacy, confidentiality, and data handling standards
What We’re Looking For

• Experience working with credit rulebooks, decisioning frameworks, or lending policies
• Background in lending, fintech, credit risk, or financial data analysis
• Strong understanding of:

Income verification
Expense analysis
Liability assessment
Responsible lending principles
• Proven ability to identify patterns, anomalies, and risk indicators in transaction data
• High attention to detail and structured thinking
• Ability to follow and apply rules consistently (not just interpret data)
• Strong written English and ability to present clear, logical summaries
Important – Privacy & Data Handling

You will be working with sensitive financial data. All work must be completed in line with strict privacy and confidentiality requirements.
No customer data is to be stored, shared, or used outside of authorised systems.

Application Requirement (Mandatory)

To be considered for this role, you must provide:

A sample of a credit rulebook, decisioning framework, or policy you have previously worked with
This can be anonymised or redacted if required
It should demonstrate how decisions are made (e.g. income rules, expense thresholds, risk flags)
Examples of categorised transaction data, ensuring:
All personal information is removed or anonymised
No real customer names, account numbers, or identifiable details
Clear grouping of transactions (e.g. income, rent, utilities, gambling, BNPL, discretionary spending)

Applications without these examples will not be considered.

Why Join Us?

• Work with a fast-growing Australian lender building a scalable credit model
• Be part of a structured, data-driven decisioning environment
• Long-term opportunity with growth into credit risk and policy development
• High-impact role influencing how lending decisions are made",https://www.onlinejobs.ph/jobseekers/job/Loan-Data-Analyst-Credit-Decisioning-Focus-1625896
"Apr 16, 2026","['Data Analyst', 'Analyst']",Part Time,TBD,10,"Data-driven Decision-Making:
-Proficient in managing reports, creating trackers, and building data visualizations using Power BI and Tableau, enhancing
strategic decision-making capabilities.

Flexible and Adaptable:
- Proven ability to adapt to dynamic work environments, efficiently managing multiple
tasks and responsibilities to ensure optimal productivity and project success. Proven ability to thrive in diverse professional
environments, transitioning seamlessly between roles and industries, from
teaching to software engineering and leadership positions.

Technical Proficiency:
- Microsoft Office Suite: Advanced proficiency
in Word, Excel, PowerPoint, and other MS Office applications.
- Google Workspace: Proficient in using
Google Docs, Spreadsheet, and other Google applications for seamless
collaboration and document management.

Analytical Thinking:
-Adept at approaching challenges with a
logical and analytical mindset, leveraging problem-solving skills developed
through experience as a Software Engineer, Team Manager, and Real-Time Analyst
Manager.

Leadership and Team Management:
-Demonstrated success in leading and managing teams, fostering collaboration, and achieving collective goals as a Team Leader and Team Manager.

Effective Communication:
-Refined communication skills honed as a Teacher, Customer Service, Team Lead, and Team Manager, facilitating clear
understanding and engagement, both in the classroom and within professional
teams.

Customer Service Excellence:
-Developed strong interpersonal skills through experience as an Agent, ensuring
high-quality customer service and satisfaction.

Organizational Skills:
-Proven ability to organize and prioritize tasks effectively, ensuring efficient
workflow and successful project completion across various roles.

Continuous Learning:
-Inherent enthusiasm for learning and staying abreast of industry trends, fostering
adaptability and a proactive approach to professional development.

NOTE: This is a part-time job. We just need you to be available in EST hours if needed (Mostly between 8am-6pm EST).",https://www.onlinejobs.ph/jobseekers/job/Data-analyst-ExcelGoogle-Sheet-Pro-1625737
"Apr 16, 2026","['Data Analyst', 'Analyst']",Full Time,"P40, 000 - 45,000",40,"Data Analyst (Supporting San Diego Team)

Overview
We are looking for a detail-oriented and proactive Data Analyst to join our growing team. In this role, you will support reporting, analytics, and data infrastructure for warehouse and operations systems. You’ll play a key role in transforming complex data into clear, actionable insights that drive business decisions.


Key Responsibilities

Develop, maintain, and optimize customized reports and dashboards
Collaborate with internal and external stakeholders to gather reporting requirements
Ensure data accuracy and integrity across SQL databases, Excel, Power BI, and WMS platforms (e.g., VeraCore)
Design user-friendly dashboards and reporting tools for leadership and operations teams
Document workflows, processes, and reporting structures for scalability
Work closely with IT and cross-functional teams to support data needs
Translate complex data into clear insights for non-technical stakeholders
Continuously improve reporting systems and automation processes

Required Qualifications
At least 3 years of experience as a Data Analyst or in a similar role
Proficiency in:
SQL (queries, joins, aggregations, optimization)
Power BI (dashboards, DAX, data modeling)
Microsoft Excel (Power Query, pivot tables, advanced formulas)
Strong analytical and problem-solving skills
High attention to detail and data accuracy
Excellent communication skills (written and verbal)
Ability to present data clearly to both technical and non-technical audiences

Preferred Skills

Experience in logistics, warehouse management systems (WMS), or supply chain
Familiarity with APIs and multi-system data integration
Basic knowledge of Python, VBA, or Power Automate
Understanding of data governance and data quality standards
Experience with ERP systems and reporting integration
Strong grasp of data visualization and storytelling best practices

Key Competencies

Analytical thinking and problem-solving
Attention to detail
Process documentation and organization
Continuous improvement mindset
Ability to manage multiple data sources

Communication & Collaboration

Strong stakeholder management skills
Ability to work cross-functionally
Skilled in simplifying technical concepts for business users",https://www.onlinejobs.ph/jobseekers/job/Data-Analyst-1609377
"Apr 15, 2026",['book'],Full Time,$5,38,"Data-Driven Bookkeeper | Turn Numbers into Strategy

Are you a numbers wizard who sees the story behind the spreadsheets? We aren’t just looking for someone to ""balance the books""—we need a Financial & KPI Specialist who loves precision and thrives on data-informed growth.

If you enjoy reconciling accounts as much as you enjoy building a performance dashboard that reveals the ""why"" behind the numbers, we want to talk to you.

The Mission
Your role is twofold: Keeping our financial foundation rock-solid. You’ll be the person who alerts us to trends before they become problems and celebrates wins with hard data.

What You’ll Own:
* The Ledger: Flawless management of AR/AP, bank reconciliations, and transaction monitoring.
* The Dashboard: Tracking, analyzing, and reporting on financial and departmental KPIs. You’ll turn raw data into visual insights.

Are You Our Ideal Candidate?
* The Experience: You have a proven track record in bookkeeping, but you also have a ""data analyst"" mindset.
* The Tech Savvy: You’re comfortable navigating accounting software and possess advanced skills in reporting tools/dashboards.
* The Eye for Detail: You spot a $0.01 discrepancy from a mile away and notice when a KPI trend looks ""off.""
* The Communicator: You can explain financial variances to non-finance people without losing them in the jargon.

Why Join Us?
We value transparency, efficiency, and the insights you bring to the table. This isn't just about data entry; it’s about having a seat at the table in how we measure success.

Ready to apply?
We’ve ditched the long-winded email process. Please jump over to our application form here: ----------",https://www.onlinejobs.ph/jobseekers/job/Bookkeeper-1612064
